topic_id,words,scores
10,robot | human | robots | primitives | control | model | space | controller | modules | learning,0.0308 | 0.0192 | 0.0178 | 0.0163 | 0.0149 | 0.0143 | 0.0133 | 0.0122 | 0.0121 | 0.0108
11,stroke | rehabilitation | patients | recovery | upper | function | therapy | arm | stroke patients | impairment,0.0341 | 0.0174 | 0.0145 | 0.0136 | 0.0122 | 0.0109 | 0.0103 | 0.0100 | 0.0097 | 0.0094
12,children | reading | dyslexia | handwriting | writing | procedural | letter | dyslexic | language | developmental,0.0326 | 0.0293 | 0.0282 | 0.0262 | 0.0205 | 0.0189 | 0.0175 | 0.0165 | 0.0165 | 0.0163
13,skill acquisition | acquisition | skill | cognitive | job | individual differences | selfefficacy | research | ability | information,0.0248 | 0.0198 | 0.0192 | 0.0160 | 0.0159 | 0.0149 | 0.0144 | 0.0141 | 0.0141 | 0.0131
14,skills | nursing | students | teaching | education | medical | simulation | psychomotor | clinical | skill,0.0281 | 0.0260 | 0.0238 | 0.0213 | 0.0206 | 0.0204 | 0.0198 | 0.0179 | 0.0178 | 0.0150
15,cerebellar | cells | climbing | purkinje | fiber | purkinje cells | plasticity | climbing fiber | spike | cell,0.0360 | 0.0302 | 0.0290 | 0.0267 | 0.0224 | 0.0199 | 0.0191 | 0.0184 | 0.0180 | 0.0176
16,haptic | guidance | haptic guidance | robotic | assistance | haptic feedback | error | training | feedback | robot,0.0589 | 0.0369 | 0.0279 | 0.0226 | 0.0146 | 0.0133 | 0.0127 | 0.0123 | 0.0119 | 0.0116
17,competence | children | physical | motor competence | physical activity | perceived | childrens | fms | skills | gross,0.0442 | 0.0332 | 0.0248 | 0.0248 | 0.0228 | 0.0214 | 0.0202 | 0.0182 | 0.0176 | 0.0165
18,pain | neck | painful | muscle | neck pain | pain motor | experimental pain | capsaicin | musculoskeletal | muscles,0.1049 | 0.0202 | 0.0144 | 0.0130 | 0.0121 | 0.0119 | 0.0116 | 0.0107 | 0.0106 | 0.0105
19,depression | purkinje | longterm depression | synapses | cell | longterm | cerebellar | parallel | synaptic | induction,0.0388 | 0.0378 | 0.0362 | 0.0354 | 0.0334 | 0.0333 | 0.0322 | 0.0319 | 0.0303 | 0.0284
20,excitability | motor cortex | stimulation | m1 | motor | cortex | changes | sici | muscle | mep,0.0282 | 0.0160 | 0.0140 | 0.0132 | 0.0130 | 0.0127 | 0.0124 | 0.0123 | 0.0122 | 0.0122
21,tdcs | cerebellar | stimulation | cerebellar tdcs | cerebellum | anodal | current stimulation | ctdcs | transcranial | sham,0.0341 | 0.0335 | 0.0292 | 0.0229 | 0.0221 | 0.0213 | 0.0196 | 0.0190 | 0.0188 | 0.0180
22,vor | vestibular | gain | reflex | vestibuloocular | vestibuloocular reflex | head | eye | flocculus | vor gain,0.0905 | 0.0479 | 0.0428 | 0.0419 | 0.0405 | 0.0388 | 0.0305 | 0.0291 | 0.0235 | 0.0218
23,speech | speech motor | auditory | production | auditory feedback | speech production | vowel | speakers | sensorimotor | adaptation,0.0908 | 0.0398 | 0.0356 | 0.0313 | 0.0284 | 0.0236 | 0.0196 | 0.0173 | 0.0169 | 0.0164
24,coaches | sport | coaching | ecological | coach | development | practitioners | sports | ecological dynamics | football,0.0554 | 0.0365 | 0.0323 | 0.0224 | 0.0218 | 0.0209 | 0.0194 | 0.0193 | 0.0187 | 0.0175
25,laparoscopic | residents | surgery | surgical | skills | training | laparoscopic skills | curriculum | suturing | laparoscopic surgery,0.0785 | 0.0330 | 0.0270 | 0.0256 | 0.0243 | 0.0226 | 0.0225 | 0.0187 | 0.0183 | 0.0180
26,kr | knowledge results | knowledge | results kr | bandwidth | summary | nokr | frequency | retention | trials,0.1381 | 0.0538 | 0.0342 | 0.0297 | 0.0260 | 0.0252 | 0.0250 | 0.0226 | 0.0209 | 0.0200
27,contextual interference | contextual | random | interference | blocked | random practice | practice | interference effect | blocked practice | ci,0.0574 | 0.0558 | 0.0451 | 0.0442 | 0.0437 | 0.0337 | 0.0335 | 0.0218 | 0.0211 | 0.0207
28,pd | parkinsons | disease | parkinsons disease | gait | people | balance | patients | disease pd | people pd,0.0488 | 0.0358 | 0.0357 | 0.0354 | 0.0203 | 0.0175 | 0.0164 | 0.0163 | 0.0158 | 0.0152
29,stroke | stimulation | rtms | tdcs | transcranial | patients | stroke patients | sham | direct current | current stimulation,0.0343 | 0.0303 | 0.0293 | 0.0277 | 0.0212 | 0.0187 | 0.0183 | 0.0176 | 0.0146 | 0.0142
30,focus | external | external focus | attention | focus attention | internal focus | internal | attentional | attentional focus | instructions,0.0990 | 0.0568 | 0.0512 | 0.0427 | 0.0416 | 0.0391 | 0.0348 | 0.0345 | 0.0335 | 0.0246
31,robotic | rehabilitation | stroke | upper | therapy | robot | upper limb | robotassisted | recovery | limb,0.0367 | 0.0232 | 0.0219 | 0.0198 | 0.0193 | 0.0181 | 0.0158 | 0.0158 | 0.0138 | 0.0131
32,pd | disease | parkinsons | parkinsons disease | patients | pd patients | disease pd | disease sep | patients parkinsons | controls,0.0563 | 0.0421 | 0.0406 | 0.0392 | 0.0307 | 0.0186 | 0.0171 | 0.0164 | 0.0151 | 0.0150
33,spines | spine | dendritic | synaptic | layer | neurons | pyramidal | pyramidal neurons | synapses | plasticity,0.0499 | 0.0439 | 0.0421 | 0.0371 | 0.0266 | 0.0264 | 0.0262 | 0.0230 | 0.0228 | 0.0197
34,cerebral palsy | palsy | children | therapy | cerebral | cp | children cerebral | habitile | intensive | gross motor,0.0349 | 0.0348 | 0.0339 | 0.0310 | 0.0303 | 0.0269 | 0.0221 | 0.0214 | 0.0207 | 0.0175
35,conditioning | eyeblink | conditioned | eyelid | eyeblink conditioning | cerebellar | crs | responses | cerebellum | blink,0.0605 | 0.0571 | 0.0510 | 0.0432 | 0.0401 | 0.0316 | 0.0301 | 0.0270 | 0.0262 | 0.0224
36,acl | injury | acl injury | ligament | cruciate | cruciate ligament | anterior cruciate | risk | knee | landing,0.0563 | 0.0453 | 0.0375 | 0.0315 | 0.0309 | 0.0309 | 0.0309 | 0.0262 | 0.0260 | 0.0249
37,spinal | spinal cord | cord | injury | cord injury | hreflex | plasticity | recovery | sci | stepping,0.0812 | 0.0671 | 0.0668 | 0.0359 | 0.0328 | 0.0284 | 0.0260 | 0.0243 | 0.0198 | 0.0124
38,activity | neural | neuronal | neurons | population | cortex | motor cortex | dynamics | monkeys | m1,0.0249 | 0.0232 | 0.0198 | 0.0190 | 0.0136 | 0.0132 | 0.0130 | 0.0128 | 0.0124 | 0.0123
39,pps | body | space | peripersonal | peripersonal space | multisensory | ownership | bodily | body ownership | self,0.0556 | 0.0552 | 0.0523 | 0.0411 | 0.0396 | 0.0355 | 0.0347 | 0.0238 | 0.0218 | 0.0199
40,microsurgical | microsurgery | anastomosis | assessment | surgery | simulation | surgical | plastic | plastic surgery | anastomoses,0.0651 | 0.0635 | 0.0370 | 0.0300 | 0.0286 | 0.0264 | 0.0254 | 0.0241 | 0.0231 | 0.0210
41,saccade | saccades | eye | saccadic | eye movements | pursuit | adaptation | oculomotor | vermis | saccade adaptation,0.0568 | 0.0525 | 0.0457 | 0.0315 | 0.0304 | 0.0267 | 0.0251 | 0.0250 | 0.0245 | 0.0228
42,imagery | motor imagery | mi | action | mental | imagined | physical practice | pp | motor | practice,0.0712 | 0.0505 | 0.0360 | 0.0256 | 0.0225 | 0.0191 | 0.0144 | 0.0139 | 0.0136 | 0.0130
43,infants | infant | preterm | reaching | object | infants born | born | development | objects | mobile,0.1127 | 0.0280 | 0.0266 | 0.0253 | 0.0226 | 0.0222 | 0.0208 | 0.0175 | 0.0173 | 0.0167
44,striatal | dopamine | striatum | corticostriatal | dopaminergic | receptors | cholinergic | synaptic | neurons | receptor,0.0416 | 0.0363 | 0.0344 | 0.0283 | 0.0269 | 0.0266 | 0.0266 | 0.0256 | 0.0246 | 0.0238
45,saccade | saccadic | saccades | adaptation | saccadic adaptation | target | saccade adaptation | gain | eye | amplitude,0.0986 | 0.0667 | 0.0566 | 0.0509 | 0.0452 | 0.0301 | 0.0281 | 0.0274 | 0.0263 | 0.0238
46,sequence | sequence learning | sequences | serial | implicit | offline | perceptual | serial reaction | reaction time | explicit,0.0647 | 0.0379 | 0.0281 | 0.0265 | 0.0264 | 0.0202 | 0.0179 | 0.0171 | 0.0171 | 0.0169
47,vr | reality | virtual | virtual reality | sports | feedback | dance | real | technology | realtime,0.0424 | 0.0419 | 0.0314 | 0.0275 | 0.0186 | 0.0156 | 0.0155 | 0.0144 | 0.0140 | 0.0139
48,older | cognitive | older adults | exercise | adults | interventions | physical | training | intervention | walking,0.0311 | 0.0276 | 0.0263 | 0.0200 | 0.0191 | 0.0189 | 0.0171 | 0.0164 | 0.0157 | 0.0157
49,treatment | speech | apraxia | aos | apraxia speech | cas | ultrasound | untreated | childhood apraxia | words,0.0712 | 0.0652 | 0.0369 | 0.0354 | 0.0352 | 0.0295 | 0.0229 | 0.0206 | 0.0202 | 0.0183
50,exercise | bout | acute | aerobic | aerobic exercise | retention | acute exercise | memory | consolidation | single bout,0.0824 | 0.0302 | 0.0299 | 0.0203 | 0.0203 | 0.0197 | 0.0176 | 0.0170 | 0.0161 | 0.0160
51,players | ball | tennis | equipment | junior | constraints | scaling | australian | kick | net,0.0497 | 0.0472 | 0.0307 | 0.0274 | 0.0273 | 0.0268 | 0.0229 | 0.0224 | 0.0222 | 0.0218
52,autonomy | choice | expectancies | motivation | optimal theory | autonomy support | enhanced expectancies | enhanced | intrinsic motivation | selfefficacy,0.0432 | 0.0396 | 0.0369 | 0.0337 | 0.0254 | 0.0250 | 0.0248 | 0.0232 | 0.0206 | 0.0203
53,observational | observation | observational learning | demonstrations | modeling | physical practice | model | models | pointlight | relative motion,0.0411 | 0.0372 | 0.0353 | 0.0326 | 0.0255 | 0.0250 | 0.0216 | 0.0199 | 0.0181 | 0.0181
54,sonification | auditory | feedback | movement sonification | auditory feedback | sound | movement | sounds | information | visual,0.0784 | 0.0383 | 0.0314 | 0.0301 | 0.0255 | 0.0243 | 0.0174 | 0.0166 | 0.0154 | 0.0149
55,dcd | children | children dcd | developmental coordination | coordination disorder | developmental | disorder | coordination | disorder dcd | children developmental,0.0855 | 0.0503 | 0.0431 | 0.0373 | 0.0359 | 0.0331 | 0.0331 | 0.0267 | 0.0204 | 0.0183
56,mirror | mirror neuron | actions | mirror neurons | imitation | observation | action | neuron | mns | neurons,0.0878 | 0.0430 | 0.0373 | 0.0362 | 0.0355 | 0.0339 | 0.0338 | 0.0338 | 0.0260 | 0.0182
57,abstract available | sep abstract | abstract | available | learning sep | chapter | motor control | sep | control motor | motor learning,0.1939 | 0.1732 | 0.1548 | 0.1367 | 0.0496 | 0.0409 | 0.0371 | 0.0363 | 0.0321 | 0.0318
58,tongue | jaw | oral | masseter | orofacial | corticomotor | meps | muscles | training | face,0.0709 | 0.0459 | 0.0375 | 0.0319 | 0.0264 | 0.0261 | 0.0240 | 0.0179 | 0.0149 | 0.0146
59,imagery | mi | motor imagery | mental | imagery training | physical | action observation | observation | imagery ability | aomi,0.0829 | 0.0466 | 0.0372 | 0.0245 | 0.0241 | 0.0232 | 0.0195 | 0.0169 | 0.0164 | 0.0159
60,anticipation | players | skilled | sport | perceptualcognitive | lessskilled | anticipatory | information | contextual information | sports,0.0752 | 0.0345 | 0.0321 | 0.0279 | 0.0269 | 0.0258 | 0.0253 | 0.0230 | 0.0226 | 0.0215
61,surgical | laparoscopic | tdcs | surgical skill | prefrontal | pfc | technical | surgeons | fnirs | fls,0.0478 | 0.0265 | 0.0237 | 0.0202 | 0.0182 | 0.0172 | 0.0162 | 0.0155 | 0.0154 | 0.0151
62,cortex | motor cortex | neurons | activity | corticospinal | layer | forelimb | m1 | layer 23 | calcium imaging,0.0335 | 0.0334 | 0.0304 | 0.0248 | 0.0227 | 0.0224 | 0.0212 | 0.0204 | 0.0152 | 0.0151
63,analogy | instruction | instructions | analogy learning | explicit | analogy instruction | analogy instructions | explicit learning | pressure | explicit instructions,0.1248 | 0.0419 | 0.0410 | 0.0402 | 0.0385 | 0.0307 | 0.0235 | 0.0197 | 0.0176 | 0.0161
64,brain | athletes | matter | wm | gymnasts | gyrus | volume | functional | network | restingstate,0.0259 | 0.0221 | 0.0206 | 0.0195 | 0.0194 | 0.0187 | 0.0182 | 0.0152 | 0.0146 | 0.0139
65,autism | asd | autistic | autism spectrum | spectrum | children autism | spectrum disorder | children | disorder | social,0.0944 | 0.0557 | 0.0495 | 0.0331 | 0.0303 | 0.0266 | 0.0261 | 0.0255 | 0.0230 | 0.0183
66,cerebellar | patients | cerebellum | adaptation | cerebellar damage | cerebellar patients | degeneration | cerebellar degeneration | patients cerebellar | damage,0.0402 | 0.0284 | 0.0249 | 0.0222 | 0.0217 | 0.0208 | 0.0205 | 0.0185 | 0.0183 | 0.0180
67,children | cp | cerebral palsy | palsy | virtual | cerebral | game | children cp | virtual reality | reality,0.0379 | 0.0348 | 0.0271 | 0.0271 | 0.0241 | 0.0229 | 0.0198 | 0.0185 | 0.0184 | 0.0180
68,coordination | dynamical | juggling | dynamics | ball | degrees freedom | freedom | transition | degrees | coordination patterns,0.0392 | 0.0236 | 0.0231 | 0.0213 | 0.0212 | 0.0207 | 0.0202 | 0.0183 | 0.0180 | 0.0173
69,contextual interference | contextual | interference | ci | players | practice | transfer | throw | es | blocked,0.0305 | 0.0266 | 0.0258 | 0.0225 | 0.0171 | 0.0151 | 0.0145 | 0.0144 | 0.0140 | 0.0136
70,cpr | chest | resuscitation | compression | compressions | bls | life support | basic life | chest compression | manikin,0.1056 | 0.0500 | 0.0499 | 0.0465 | 0.0425 | 0.0401 | 0.0298 | 0.0297 | 0.0285 | 0.0281
71,expertise | game | games | expert | players | skill | skill acquisition | performance | expert performance | video,0.0399 | 0.0383 | 0.0335 | 0.0238 | 0.0224 | 0.0208 | 0.0185 | 0.0183 | 0.0183 | 0.0183
72,examples | worked | worked examples | instructional | explanations | problem | solving | learners | problemsolving | problem solving,0.1357 | 0.0705 | 0.0632 | 0.0620 | 0.0426 | 0.0395 | 0.0355 | 0.0352 | 0.0335 | 0.0330
73,myoelectric | prosthesis | control | myoelectric control | prostheses | user | pattern recognition | prosthetic | emg | proportional,0.0738 | 0.0507 | 0.0331 | 0.0296 | 0.0287 | 0.0210 | 0.0202 | 0.0200 | 0.0194 | 0.0189
74,video | physical education | students | feedback | education | pe | verbal | verbal feedback | skill | physical,0.0264 | 0.0200 | 0.0198 | 0.0198 | 0.0188 | 0.0165 | 0.0150 | 0.0132 | 0.0121 | 0.0117
75,memory | reconsolidation | interference | retrieval | memories | forgetting | reactivation | declarative | items | recall,0.0543 | 0.0432 | 0.0379 | 0.0323 | 0.0274 | 0.0260 | 0.0236 | 0.0213 | 0.0188 | 0.0182
76,tdcs | anodal | direct current | current stimulation | older | stimulation | transcranial direct | atdcs | direct | sham,0.0441 | 0.0310 | 0.0266 | 0.0259 | 0.0257 | 0.0254 | 0.0247 | 0.0234 | 0.0221 | 0.0211
77,mice | mecp2 | asd | autism | mouse | mutations | disorder | behaviors | synaptic | phenotypes,0.0506 | 0.0498 | 0.0322 | 0.0321 | 0.0277 | 0.0260 | 0.0258 | 0.0247 | 0.0240 | 0.0228
78,ataxia | cerebellar | cerebellar ataxia | degenerative | patients | spinocerebellar | degeneration | cerebellum | cerebellar disease | gait,0.0851 | 0.0487 | 0.0375 | 0.0357 | 0.0288 | 0.0218 | 0.0188 | 0.0168 | 0.0167 | 0.0166
79,gaba | gaba levels | levels | nf1 | glx | resonance spectroscopy | spectroscopy | neurochemical | magnetic resonance | resonance,0.1034 | 0.0421 | 0.0280 | 0.0250 | 0.0215 | 0.0209 | 0.0195 | 0.0182 | 0.0174 | 0.0166
80,recovery | reorganization | stroke | forelimb | infarct | ischemic | rehabilitative | injury | cortex | functional,0.0433 | 0.0282 | 0.0263 | 0.0242 | 0.0221 | 0.0205 | 0.0201 | 0.0198 | 0.0195 | 0.0183
81,rats | forelimb | reaching | mice | automated | rodent | pellet | rotarod | skilled | manipulandum,0.0426 | 0.0280 | 0.0249 | 0.0237 | 0.0233 | 0.0228 | 0.0224 | 0.0180 | 0.0163 | 0.0160
82,dental | dentistry | students | dental education | vr | operative | preclinical | education | haptic | simulation,0.1113 | 0.0503 | 0.0414 | 0.0403 | 0.0235 | 0.0233 | 0.0225 | 0.0214 | 0.0209 | 0.0185
83,multiple sclerosis | sclerosis | ms | pwms | multiple | patients | sclerosis ms | patients multiple | controls | people,0.0544 | 0.0540 | 0.0519 | 0.0436 | 0.0326 | 0.0236 | 0.0207 | 0.0197 | 0.0140 | 0.0130
84,players | soccer | sport | youth | talent | elite | professional | athletes | participation | sports,0.0675 | 0.0565 | 0.0494 | 0.0487 | 0.0443 | 0.0440 | 0.0390 | 0.0379 | 0.0367 | 0.0291
85,retrieval | strategy | older adults | older | adults | shift | age differences | age | younger | differences,0.0797 | 0.0685 | 0.0619 | 0.0615 | 0.0555 | 0.0532 | 0.0490 | 0.0367 | 0.0304 | 0.0286
86,variability | muscle | moments | muscles | emg | isometric | torques | joint | movement | brachii,0.0294 | 0.0225 | 0.0207 | 0.0187 | 0.0183 | 0.0172 | 0.0171 | 0.0169 | 0.0158 | 0.0153
87,bdnf | polymorphism | val66met | val66met polymorphism | genotype | neurotrophic factor | neurotrophic | genetic | brainderived neurotrophic | brainderived,0.0963 | 0.0763 | 0.0549 | 0.0325 | 0.0303 | 0.0277 | 0.0270 | 0.0264 | 0.0263 | 0.0261
88,striatum | striatal | pathway | ganglia | basal ganglia | neurons | basal | dopamine | dorsal | dorsal striatum,0.0731 | 0.0508 | 0.0328 | 0.0279 | 0.0277 | 0.0274 | 0.0265 | 0.0252 | 0.0251 | 0.0242
89,aerobic | exercise | aerobic exercise | excitability | cortical excitability | acute | acute aerobic | ae | hrv | cortical,0.0647 | 0.0626 | 0.0546 | 0.0294 | 0.0210 | 0.0208 | 0.0199 | 0.0177 | 0.0174 | 0.0167
90,pas | associative stimulation | paired associative | associative | excitability | ltplike | plasticity | paired | stimulation | stimulation pas,0.0957 | 0.0366 | 0.0356 | 0.0338 | 0.0321 | 0.0291 | 0.0279 | 0.0274 | 0.0269 | 0.0222
91,neglect | prism | prism adaptation | prisms | pa | adaptation | rightward | spatial | leftward | visual,0.1044 | 0.0785 | 0.0748 | 0.0511 | 0.0446 | 0.0438 | 0.0324 | 0.0319 | 0.0292 | 0.0265
92,reward | punishment | reward punishment | rewards | monetary | rewarded | feedback | reinforcement | motor skill | performance,0.0964 | 0.0701 | 0.0435 | 0.0280 | 0.0237 | 0.0179 | 0.0159 | 0.0158 | 0.0144 | 0.0140
93,myelin | myelination | oligodendrocytes | oligodendrocyte | neuronal | neuronal activity | axons | adult | nervous | cns,0.1434 | 0.0649 | 0.0641 | 0.0611 | 0.0261 | 0.0253 | 0.0249 | 0.0220 | 0.0215 | 0.0202
94,vns | plasticity | noradrenergic | cortical | vagus nerve | vagus | norepinephrine | intensity | paired | motor cortex,0.0881 | 0.0342 | 0.0331 | 0.0239 | 0.0238 | 0.0238 | 0.0230 | 0.0225 | 0.0198 | 0.0194
95,relative phase | coordination | bimanual | pattern | relative | 90 | bimanual coordination | coordination pattern | phase | transfer,0.0567 | 0.0498 | 0.0446 | 0.0404 | 0.0393 | 0.0383 | 0.0380 | 0.0351 | 0.0327 | 0.0227
96,schizophrenia | sz | patients | bd | controls | elderly | implicit motor | implicit | sequence | srtt,0.1172 | 0.0385 | 0.0339 | 0.0304 | 0.0300 | 0.0203 | 0.0195 | 0.0190 | 0.0159 | 0.0145
97,itbs | theta burst | tbs | burst | ctbs | theta | burst stimulation | stimulation | intermittent | m1,0.0741 | 0.0430 | 0.0406 | 0.0386 | 0.0342 | 0.0339 | 0.0334 | 0.0295 | 0.0289 | 0.0258
98,motor behavior | research | les | learning control | motor learning | behavior | development learning | et | theoretical | des,0.0333 | 0.0272 | 0.0248 | 0.0221 | 0.0211 | 0.0209 | 0.0190 | 0.0178 | 0.0175 | 0.0162
99,selfcontrolled | yoked | selfcontrol | selfcontrolled feedback | feedback | kr | learners | schedules | feedback schedules | sc,0.0703 | 0.0434 | 0.0434 | 0.0419 | 0.0414 | 0.0376 | 0.0289 | 0.0269 | 0.0265 | 0.0248
100,orthopaedic | ivr | surgical | simulators | virtual | reality | simulation | virtual reality | immersive | surgery,0.0673 | 0.0607 | 0.0407 | 0.0385 | 0.0315 | 0.0300 | 0.0268 | 0.0250 | 0.0228 | 0.0222
101,purkinje | cells | cell | cerebellar | purkinje cells | pc | gene | ataxia | mouse | granule,0.0651 | 0.0527 | 0.0459 | 0.0455 | 0.0368 | 0.0364 | 0.0322 | 0.0314 | 0.0311 | 0.0276
102,ml | selfefficacy | therapists | physical | implementation | physical therapists | content | physical therapy | clinical | therapy,0.0603 | 0.0422 | 0.0330 | 0.0322 | 0.0283 | 0.0278 | 0.0221 | 0.0221 | 0.0213 | 0.0206
103,voice | voice therapy | biofeedback | therapy | respiratory | behaviors | vocal | treatment | speech | random,0.1232 | 0.0597 | 0.0314 | 0.0303 | 0.0228 | 0.0210 | 0.0195 | 0.0178 | 0.0174 | 0.0168
104,stuttering | stutter | speech | pws | adults stutter | speech motor | fluent | aws | syllables | pns,0.0819 | 0.0761 | 0.0559 | 0.0554 | 0.0394 | 0.0327 | 0.0269 | 0.0258 | 0.0216 | 0.0213
105,sequence learning | pd | sequence | disease | parkinsons | dopamine | parkinsons disease | levodopa | motor sequence | network,0.0382 | 0.0322 | 0.0312 | 0.0251 | 0.0229 | 0.0229 | 0.0217 | 0.0216 | 0.0210 | 0.0207
106,schema | schema theory | theory | 1975 | variability practice | variability | practice | variable | discrete motor | transfer,0.1194 | 0.1040 | 0.0662 | 0.0481 | 0.0261 | 0.0258 | 0.0251 | 0.0224 | 0.0217 | 0.0197
107,exercise | aerobic exercise | aerobic | stroke | highintensity | ae | neuroplasticity | poststroke | hiit | cardiovascular,0.0680 | 0.0414 | 0.0399 | 0.0316 | 0.0248 | 0.0200 | 0.0200 | 0.0186 | 0.0183 | 0.0182
108,focus | external | external focus | focus attention | attention | jump | instructions | internal | internal focus | externally,0.0883 | 0.0625 | 0.0612 | 0.0589 | 0.0537 | 0.0524 | 0.0448 | 0.0362 | 0.0337 | 0.0261
109,spines | rats | ac | animals | synapses | purkinje | acrobatic | purkinje cell | cell | synapse,0.0499 | 0.0488 | 0.0408 | 0.0393 | 0.0387 | 0.0372 | 0.0317 | 0.0313 | 0.0298 | 0.0296
110,exoskeleton | assistance | powered | soleus | ankle | muscle | walking | exoskeletons | orthosis | gait,0.1079 | 0.0451 | 0.0432 | 0.0353 | 0.0342 | 0.0303 | 0.0299 | 0.0290 | 0.0241 | 0.0236
111,cerebellum | cerebellar | patients | cerebellar patients | lesions | associative | associative learning | patients cerebellar | nonmotor | monkeys,0.0441 | 0.0417 | 0.0287 | 0.0274 | 0.0259 | 0.0256 | 0.0252 | 0.0228 | 0.0183 | 0.0178
112,coop | occupational | occupational performance | cognitive orientation | daily occupational | orientation daily | orientation | children | coordination disorder | developmental coordination,0.1348 | 0.0721 | 0.0719 | 0.0604 | 0.0549 | 0.0549 | 0.0457 | 0.0432 | 0.0359 | 0.0359
113,recovery | stroke | motor recovery | rsfc | rehabilitation | poststroke | stroke rehabilitation | neural plasticity | connectivity | functional,0.0490 | 0.0481 | 0.0254 | 0.0212 | 0.0198 | 0.0173 | 0.0152 | 0.0144 | 0.0143 | 0.0134
114,tacs | alternating current | transcranial alternating | hz | oscillatory | alternating | stimulation | stimulation tacs | transcranial | current stimulation,0.1076 | 0.0402 | 0.0393 | 0.0388 | 0.0369 | 0.0344 | 0.0278 | 0.0267 | 0.0230 | 0.0226
115,biofeedback | gait | balance | cadence | gait training | cueing | wearable | vibrotactile | balance training | metronome,0.0628 | 0.0581 | 0.0236 | 0.0227 | 0.0222 | 0.0186 | 0.0181 | 0.0143 | 0.0135 | 0.0132
116,laparoscopic | surgical | surgeons | surgery | view | vinci | da vinci | 135 | robotic | camera,0.0359 | 0.0357 | 0.0318 | 0.0291 | 0.0243 | 0.0204 | 0.0204 | 0.0202 | 0.0198 | 0.0175
117,exercise | physical exercise | synaptic | acrobatic | protein | exerciseinduced | corticostriatal | plasticity | mice | running,0.0575 | 0.0361 | 0.0229 | 0.0221 | 0.0206 | 0.0196 | 0.0185 | 0.0172 | 0.0172 | 0.0170
118,glur2 | glutamate | glutamate receptor | receptor | cells | domain | purkinje cells | proteins | purkinje | expressed,0.2252 | 0.0725 | 0.0698 | 0.0663 | 0.0484 | 0.0427 | 0.0426 | 0.0407 | 0.0389 | 0.0374
119,lefthanders | hand | handedness | right | dominant | left | manual | left hand | preference | interlimb transfer,0.0543 | 0.0441 | 0.0424 | 0.0400 | 0.0365 | 0.0324 | 0.0305 | 0.0300 | 0.0292 | 0.0286
120,feedback | spinal manipulation | manipulation | force | augmented feedback | augmented | spinal | lifting | measurement | students,0.0387 | 0.0363 | 0.0250 | 0.0244 | 0.0229 | 0.0209 | 0.0209 | 0.0206 | 0.0179 | 0.0170
121,foxp2 | expression | language | transcription | gene | speech language | speech | vocal | mutations | mutation,0.1895 | 0.0452 | 0.0448 | 0.0421 | 0.0398 | 0.0385 | 0.0352 | 0.0348 | 0.0282 | 0.0265
122,sec | rest | massed | apa rights | record 2006 | database record | psycinfinityo database | 2006 apa | apa | psycinfinityo,0.0993 | 0.0984 | 0.0615 | 0.0513 | 0.0513 | 0.0513 | 0.0513 | 0.0513 | 0.0491 | 0.0442
