topic_id,words,scores
22,cerebellar | cerebellum | patients | cerebellar patients | ataxia | patients cerebellar | controls | degeneration | damage | adaptation,0.0507 | 0.0389 | 0.0325 | 0.0207 | 0.0204 | 0.0168 | 0.0154 | 0.0146 | 0.0133 | 0.0130
23,observation | action | mirror | action observation | actions | imitation | mirror neuron | observed | dance | neuron,0.0503 | 0.0493 | 0.0375 | 0.0350 | 0.0284 | 0.0225 | 0.0183 | 0.0151 | 0.0149 | 0.0147
24,children | dcd | children dcd | developmental | developmental coordination | coordination disorder | disorder | coordination | age | children developmental,0.0630 | 0.0598 | 0.0316 | 0.0312 | 0.0297 | 0.0290 | 0.0263 | 0.0230 | 0.0150 | 0.0146
25,spinal | spinal cord | cord | cord injury | injury | sci | hreflex | recovery | walking | plasticity,0.0850 | 0.0712 | 0.0711 | 0.0423 | 0.0385 | 0.0361 | 0.0265 | 0.0189 | 0.0177 | 0.0165
26,stroke | rtms | stimulation | patients | stroke patients | transcranial | contralesional | tdcs | chronic | magnetic,0.0433 | 0.0289 | 0.0266 | 0.0224 | 0.0200 | 0.0180 | 0.0177 | 0.0168 | 0.0164 | 0.0159
27,abstract available | sep abstract | abstract | available | sep | learning sep | knowledge results | acquisition sep | motor learning | skill acquisition,0.3330 | 0.3004 | 0.2714 | 0.2429 | 0.0683 | 0.0492 | 0.0323 | 0.0261 | 0.0248 | 0.0245
28,bci | eeg | mi | braincomputer | imagery | brain | motor imagery | erd | desynchronization | neurofeedback,0.0386 | 0.0281 | 0.0209 | 0.0189 | 0.0184 | 0.0181 | 0.0178 | 0.0165 | 0.0139 | 0.0128
29,speech | auditory | speech motor | auditory feedback | production | speech production | feedback | adaptation | vowel | sensorimotor,0.1059 | 0.0420 | 0.0419 | 0.0340 | 0.0328 | 0.0248 | 0.0211 | 0.0205 | 0.0199 | 0.0194
30,pain | trunk | neck | lbp | muscle | low pain | painful | chronic | muscles | pain motor,0.1215 | 0.0190 | 0.0187 | 0.0176 | 0.0165 | 0.0156 | 0.0150 | 0.0139 | 0.0136 | 0.0126
31,stroke | recovery | rehabilitation | arm | therapy | bilateral | upper | impairment | patients | motor recovery,0.0437 | 0.0230 | 0.0221 | 0.0167 | 0.0166 | 0.0149 | 0.0147 | 0.0142 | 0.0134 | 0.0130
32,pd | disease | parkinsons | parkinsons disease | gait | people | disease pd | balance | patients | people parkinsons,0.0500 | 0.0407 | 0.0372 | 0.0369 | 0.0237 | 0.0191 | 0.0165 | 0.0161 | 0.0152 | 0.0136
33,monkeys | activity | cortex | neural | neurons | monkey | motor cortex | premotor | cortical | neuronal,0.0320 | 0.0249 | 0.0222 | 0.0201 | 0.0184 | 0.0174 | 0.0153 | 0.0151 | 0.0150 | 0.0148
34,exercise | aerobic | aerobic exercise | acute | bout | strength | single bout | retention | skill | motor,0.0697 | 0.0300 | 0.0269 | 0.0251 | 0.0225 | 0.0174 | 0.0147 | 0.0138 | 0.0130 | 0.0130
35,competence | children | motor competence | physical | physical activity | perceived | pa | skills | gross | childrens,0.0554 | 0.0379 | 0.0332 | 0.0314 | 0.0295 | 0.0243 | 0.0226 | 0.0207 | 0.0197 | 0.0194
36,acl | injury | knee | acl injury | landing | ligament | cruciate ligament | cruciate | anterior cruciate | athletes,0.0479 | 0.0406 | 0.0361 | 0.0315 | 0.0278 | 0.0257 | 0.0252 | 0.0252 | 0.0252 | 0.0229
37,robotic | stroke | rehabilitation | therapy | robotassisted | upper | robot | training | patients | devices,0.0363 | 0.0289 | 0.0264 | 0.0228 | 0.0204 | 0.0189 | 0.0184 | 0.0173 | 0.0161 | 0.0153
38,haptic | robotic | guidance | training | haptic guidance | amplification | ieee | task | error amplification | assistance,0.0500 | 0.0292 | 0.0257 | 0.0193 | 0.0188 | 0.0166 | 0.0166 | 0.0162 | 0.0161 | 0.0155
39,dyslexia | reading | children | handwriting | writing | dyslexic | readers | letter | developmental dyslexia | developmental,0.0446 | 0.0413 | 0.0318 | 0.0318 | 0.0259 | 0.0259 | 0.0254 | 0.0235 | 0.0216 | 0.0194
40,older | older adults | balance | adults | falls | slip | cognitive | training | walking | gait,0.0349 | 0.0308 | 0.0262 | 0.0260 | 0.0247 | 0.0236 | 0.0202 | 0.0198 | 0.0193 | 0.0166
41,cerebellar | model | cerebellum | plasticity | spiking | cells | network | fiber | vor | computational,0.0495 | 0.0316 | 0.0274 | 0.0201 | 0.0201 | 0.0193 | 0.0181 | 0.0179 | 0.0175 | 0.0171
42,coembodiment | virtual | user | feedback | reality | vr | haptic | dance | learning | users,0.0259 | 0.0251 | 0.0248 | 0.0237 | 0.0192 | 0.0167 | 0.0159 | 0.0150 | 0.0137 | 0.0137
43,conditioning | eyeblink | conditioned | eyeblink conditioning | eyelid | cerebellar | cerebellum | responses | crs | extinction,0.0660 | 0.0556 | 0.0516 | 0.0421 | 0.0408 | 0.0337 | 0.0305 | 0.0298 | 0.0293 | 0.0242
44,vor | gain | reflex | vestibuloocular | vestibuloocular reflex | head | vestibular | eye | vor gain | flocculus,0.1073 | 0.0539 | 0.0434 | 0.0416 | 0.0400 | 0.0378 | 0.0342 | 0.0332 | 0.0253 | 0.0244
45,skill acquisition | skill | job | performance | acquisition | ability | individual differences | individual | selfefficacy | research,0.0295 | 0.0271 | 0.0268 | 0.0256 | 0.0255 | 0.0249 | 0.0238 | 0.0237 | 0.0235 | 0.0216
46,stroke | therapists | motor learning | rehabilitation | implicit | ml | physical therapists | principles | occupational | learning,0.0263 | 0.0258 | 0.0189 | 0.0181 | 0.0165 | 0.0163 | 0.0158 | 0.0145 | 0.0139 | 0.0138
47,skill acquisition | strategy | skill | acquisition | information | automaticity | processing | theories | rule | memorybased,0.0284 | 0.0265 | 0.0258 | 0.0254 | 0.0253 | 0.0234 | 0.0217 | 0.0189 | 0.0185 | 0.0182
48,kr | knowledge results | knowledge | nokr | retention | summary | frequency | results kr | relative frequency | feedback,0.1315 | 0.0478 | 0.0338 | 0.0288 | 0.0281 | 0.0277 | 0.0275 | 0.0265 | 0.0253 | 0.0226
49,physical education | education | students | video | feedback | dl | physical | pe | learning | teaching,0.0231 | 0.0227 | 0.0220 | 0.0210 | 0.0178 | 0.0164 | 0.0160 | 0.0148 | 0.0146 | 0.0142
50,imagery | motor imagery | mi | mental | action | imagined | aip | practice | aep | mibased,0.0675 | 0.0468 | 0.0406 | 0.0311 | 0.0227 | 0.0222 | 0.0187 | 0.0181 | 0.0177 | 0.0171
51,myoelectric | prosthesis | control | prosthetic | prostheses | users | myoelectric control | limb | feedback | emg,0.0582 | 0.0523 | 0.0360 | 0.0349 | 0.0259 | 0.0233 | 0.0223 | 0.0200 | 0.0186 | 0.0182
52,forelimb | rats | recovery | ischemic | stroke | cortex | damage | training | skilled | unilateral,0.0456 | 0.0456 | 0.0299 | 0.0274 | 0.0252 | 0.0218 | 0.0209 | 0.0204 | 0.0203 | 0.0190
53,anticipation | players | skilled | sports | sport | information | decisionmaking | perceptualcognitive | lessskilled | ball,0.0603 | 0.0431 | 0.0330 | 0.0275 | 0.0255 | 0.0244 | 0.0240 | 0.0232 | 0.0221 | 0.0220
54,skills | medical | procedural | students | procedural skills | teaching | clinical | education | simulationbased | clinical skills,0.0363 | 0.0311 | 0.0284 | 0.0254 | 0.0254 | 0.0244 | 0.0242 | 0.0226 | 0.0212 | 0.0210
55,variability | muscle | joint | running | synergies | manifold | uncontrolled | hypothesis | variance | solutions,0.0329 | 0.0274 | 0.0193 | 0.0188 | 0.0185 | 0.0180 | 0.0173 | 0.0166 | 0.0164 | 0.0141
56,microsurgery | microsurgical | anastomosis | assessment | plastic | plastic surgery | simulation | anastomoses | surgery | microvascular,0.0870 | 0.0869 | 0.0461 | 0.0378 | 0.0324 | 0.0301 | 0.0292 | 0.0273 | 0.0263 | 0.0255
57,imagery | mental | physical | practice | mi | physical practice | motor imagery | imagery training | mental practice | performance,0.0912 | 0.0429 | 0.0297 | 0.0296 | 0.0288 | 0.0282 | 0.0276 | 0.0221 | 0.0220 | 0.0159
58,dystonia | focal | cervical dystonia | abnormal | cervical | musicians | patients | dystonic | carriers | pathophysiology,0.1171 | 0.0263 | 0.0243 | 0.0238 | 0.0218 | 0.0188 | 0.0188 | 0.0168 | 0.0154 | 0.0152
59,recall | interpolated | location | shortterm motor | criterion | motor memory | shortterm | interval | kr | distance,0.0397 | 0.0320 | 0.0271 | 0.0252 | 0.0236 | 0.0221 | 0.0217 | 0.0214 | 0.0210 | 0.0201
60,body | pps | space | peripersonal space | peripersonal | ownership | multisensory | tool | representation | bodily,0.0875 | 0.0795 | 0.0622 | 0.0531 | 0.0530 | 0.0404 | 0.0402 | 0.0333 | 0.0322 | 0.0301
61,contextual interference | blocked | contextual | random | interference | practice | random practice | blocked practice | retention | schedule,0.0656 | 0.0633 | 0.0604 | 0.0547 | 0.0498 | 0.0476 | 0.0443 | 0.0282 | 0.0258 | 0.0240
62,autism | asd | autistic | autism spectrum | spectrum | children | spectrum disorder | children autism | disorder | social,0.0915 | 0.0719 | 0.0409 | 0.0361 | 0.0333 | 0.0323 | 0.0292 | 0.0288 | 0.0247 | 0.0181
63,gait | walking | treadmill | paretic | stroke | overground | asymmetry | step length | step | length,0.0559 | 0.0432 | 0.0342 | 0.0334 | 0.0323 | 0.0282 | 0.0276 | 0.0270 | 0.0263 | 0.0247
64,examples | instructional | worked | worked examples | learners | problem | load | cognitive load | explanations | cognitive,0.1035 | 0.0643 | 0.0575 | 0.0515 | 0.0415 | 0.0397 | 0.0384 | 0.0382 | 0.0344 | 0.0342
65,feedback | group | kr | retention | visual feedback | practice | groups | pretest | measurement | visual,0.0243 | 0.0217 | 0.0189 | 0.0156 | 0.0152 | 0.0152 | 0.0149 | 0.0147 | 0.0132 | 0.0131
66,rehabilitation | vr | virtual | stroke | reality | vrbased | virtual reality | therapy | use | upper,0.0434 | 0.0421 | 0.0375 | 0.0333 | 0.0244 | 0.0226 | 0.0210 | 0.0169 | 0.0165 | 0.0156
67,multiple sclerosis | sclerosis | ms | pwms | multiple | patients | patients multiple | sclerosis ms | controls | tremor,0.0667 | 0.0662 | 0.0546 | 0.0500 | 0.0410 | 0.0297 | 0.0216 | 0.0209 | 0.0176 | 0.0157
68,children | tdcs | perinatal stroke | perinatal | stimulation | transcranial | cerebral palsy | palsy | cerebral | transcranial direct,0.0406 | 0.0324 | 0.0222 | 0.0219 | 0.0212 | 0.0209 | 0.0201 | 0.0201 | 0.0177 | 0.0149
69,tongue | jaw | oral | masseter | corticomotor | meps | orofacial | muscles | training | muscle,0.0695 | 0.0503 | 0.0393 | 0.0355 | 0.0291 | 0.0268 | 0.0240 | 0.0220 | 0.0213 | 0.0169
70,schizophrenia | sz | patients | controls | bd | sleep | deficits | healthy controls | implicit | healthy,0.1156 | 0.0346 | 0.0336 | 0.0299 | 0.0193 | 0.0162 | 0.0156 | 0.0155 | 0.0150 | 0.0148
71,speech | speech motor | practice | nonspeech | participants | nonwords | principles | retention | production | pitch,0.0717 | 0.0480 | 0.0251 | 0.0190 | 0.0177 | 0.0154 | 0.0152 | 0.0147 | 0.0145 | 0.0142
72,musical | music | auditory | melodies | musicians | piano | musical training | listening | pitch | melody,0.0608 | 0.0454 | 0.0389 | 0.0347 | 0.0338 | 0.0312 | 0.0258 | 0.0241 | 0.0209 | 0.0204
73,infants | object | exploration | objects | development | action | actions | infant | toddlers | reaching,0.1385 | 0.0366 | 0.0313 | 0.0284 | 0.0279 | 0.0267 | 0.0261 | 0.0260 | 0.0220 | 0.0198
74,children | dcd | developmental coordination | coordination disorder | disorder | developmental | children developmental | coordination | intervention | children dcd,0.0563 | 0.0455 | 0.0444 | 0.0444 | 0.0373 | 0.0358 | 0.0346 | 0.0281 | 0.0258 | 0.0241
75,observational | physical practice | observational learning | model | observation | practice | demonstrations | physical | kr | models,0.0614 | 0.0393 | 0.0367 | 0.0344 | 0.0325 | 0.0302 | 0.0289 | 0.0273 | 0.0255 | 0.0249
76,cpr | resuscitation | bls | chest | compressions | compression | life support | basic life | manikin | training,0.1156 | 0.0499 | 0.0493 | 0.0472 | 0.0452 | 0.0446 | 0.0370 | 0.0369 | 0.0330 | 0.0283
77,treatment | speech | cas | ultrasound | children | childhood apraxia | apraxia | apraxia speech | biofeedback | generalization,0.0869 | 0.0705 | 0.0461 | 0.0361 | 0.0356 | 0.0332 | 0.0299 | 0.0297 | 0.0296 | 0.0248
78,lurcher | mice | mutants | rats | equilibrium | mutant | mutant mice | cerebellar | rotorod | motor coordination,0.0846 | 0.0711 | 0.0574 | 0.0423 | 0.0417 | 0.0414 | 0.0391 | 0.0348 | 0.0321 | 0.0218
79,fnirs | spectroscopy | nearinfrared | nearinfrared spectroscopy | hemodynamic | functional nearinfrared | spectroscopy fnirs | prefrontal | pfc | activation,0.0581 | 0.0385 | 0.0313 | 0.0306 | 0.0299 | 0.0256 | 0.0250 | 0.0223 | 0.0204 | 0.0195
80,polymorphism | bdnf | val66met | genotype | val66met polymorphism | bdnf val66met | comt | genetic | gene | dopamine,0.0785 | 0.0677 | 0.0557 | 0.0353 | 0.0344 | 0.0311 | 0.0310 | 0.0268 | 0.0261 | 0.0256
81,retrieval | older | older adults | strategy | adults | shift | age differences | age | younger | differences,0.0778 | 0.0750 | 0.0710 | 0.0675 | 0.0662 | 0.0540 | 0.0468 | 0.0420 | 0.0334 | 0.0312
82,nursing | psychomotor | students | psychomotor skills | skills | education | skill | skill acquisition | acquisition | simulation,0.1297 | 0.0598 | 0.0482 | 0.0462 | 0.0445 | 0.0353 | 0.0321 | 0.0280 | 0.0272 | 0.0252
83,players | sport | srl | elite | athletes | youth | soccer | talent | professional | practice,0.0615 | 0.0613 | 0.0608 | 0.0465 | 0.0453 | 0.0453 | 0.0424 | 0.0383 | 0.0370 | 0.0334
84,guidance | haptic | haptic guidance | subjects | error | visual | force | virtual | adaptability | robotic,0.0606 | 0.0455 | 0.0417 | 0.0205 | 0.0205 | 0.0199 | 0.0196 | 0.0183 | 0.0173 | 0.0173
