Topic,Count,Name,Representation,Representative_Docs
10,136,10_focus_external_external focus_focus attention,"['focus', 'external', 'external focus', 'focus attention', 'attention', 'internal focus', 'instructions', 'internal', 'attentional focus', 'attentional']",
11,128,11_observation_action_mirror_action observation,"['observation', 'action', 'mirror', 'action observation', 'actions', 'imitation', 'mirror neuron', 'motor resonance', 'neuron', 'mirror neurons']",
12,127,12_walking_splitbelt_locomotor_treadmill,"['walking', 'splitbelt', 'locomotor', 'treadmill', 'adaptation', 'gait', 'splitbelt treadmill', 'step', 'locomotor adaptation', 'asymmetry']",
13,127,13_multisensory_audiovisual_auditory_stimuli,"['multisensory', 'audiovisual', 'auditory', 'stimuli', 'integration', 'temporal', 'multisensory integration', 'unisensory', 'visual', 'crossmodal']",
14,126,14_cerebellar_cerebellum_patients_cerebellar patients,"['cerebellar', 'cerebellum', 'patients', 'cerebellar patients', 'ataxia', 'patients cerebellar', 'degeneration', 'controls', 'cerebellar damage', 'cerebellar degeneration']",
15,125,15_monkeys_cortex_activity_monkey,"['monkeys', 'cortex', 'activity', 'monkey', 'motor cortex', 'neurons', 'neural', 'area', 'cortical', 'premotor']",
16,115,16_abstract available_sep abstract_abstract_available,"['abstract available', 'sep abstract', 'abstract', 'available', 'sep', 'learning sep', 'knowledge results', 'acquisition sep', 'commentary', 'skill acquisition']",
17,115,17_pd_disease_parkinsons_parkinsons disease,"['pd', 'disease', 'parkinsons', 'parkinsons disease', 'gait', 'people', 'disease pd', 'balance', 'people parkinsons', 'people pd']",
18,111,18_striatal_striatum_dopamine_neurons,"['striatal', 'striatum', 'dopamine', 'neurons', 'corticostriatal', 'cholinergic', 'dopaminergic', 'synaptic', 'interneurons', 'ganglia']",
19,105,19_acl_injury_knee_acl injury,"['acl', 'injury', 'knee', 'acl injury', 'landing', 'ligament', 'anterior cruciate', 'cruciate', 'cruciate ligament', 'risk']",
20,98,20_speech_speech motor_auditory_auditory feedback,"['speech', 'speech motor', 'auditory', 'auditory feedback', 'production', 'speech production', 'vowel', 'speakers', 'formant', 'feedback']",
21,97,21_cerebral palsy_palsy_cerebral_cp,"['cerebral palsy', 'palsy', 'cerebral', 'cp', 'children', 'therapy', 'children cerebral', 'intensive', 'habitile', 'intervention']",
22,95,22_sequence_sequence learning_sequences_serial,"['sequence', 'sequence learning', 'sequences', 'serial', 'implicit', 'explicit', 'serial reaction', 'reaction time', 'reaction', 'response']",
23,93,23_haptic_guidance_robotic_haptic guidance,"['haptic', 'guidance', 'robotic', 'haptic guidance', 'amplification', 'error amplification', 'assistance', 'ieee', 'device', 'training']",
24,92,24_synaptic_depression_longterm_synapses,"['synaptic', 'depression', 'longterm', 'synapses', 'longterm depression', 'cerebellar', 'cell', 'ltp', 'parallel', 'purkinje']",
25,92,25_saccade_saccadic_saccades_adaptation,"['saccade', 'saccadic', 'saccades', 'adaptation', 'saccadic adaptation', 'target', 'eye', 'saccade adaptation', 'gain', 'amplitude']",
26,90,26_conditioning_eyeblink_conditioned_eyeblink conditioning,"['conditioning', 'eyeblink', 'conditioned', 'eyeblink conditioning', 'eyelid', 'crs', 'cerebellar', 'responses', 'cerebellum', 'extinction']",
27,86,27_older_older adults_falls_slip,"['older', 'older adults', 'falls', 'slip', 'balance', 'adults', 'walking', 'cognitive', 'exercise', 'interventions']",
28,85,28_rtms_stroke_stimulation_tdcs,"['rtms', 'stroke', 'stimulation', 'tdcs', 'transcranial', 'stroke patients', 'sham', 'patients', 'contralesional', 'repetitive transcranial']",
29,81,29_competence_motor competence_children_perceived,"['competence', 'motor competence', 'children', 'perceived', 'pa', 'physical activity', 'physical', 'test gross', 'gross', 'tgmd3']",
30,81,30_vor_gain_vestibuloocular_reflex,"['vor', 'gain', 'vestibuloocular', 'reflex', 'vestibuloocular reflex', 'head', 'vestibular', 'vor gain', 'eye', 'reflex vor']",
31,79,31_coembodiment_virtual_user_reality,"['coembodiment', 'virtual', 'user', 'reality', 'feedback', 'vr', 'dance', 'teacher', 'virtual reality', 'users']",
32,79,32_pain_neck_painful_pain motor,"['pain', 'neck', 'painful', 'pain motor', 'experimental pain', 'neck pain', 'capsaicin', 'corticomotor', 'chronic pain', 'muscle']",
33,73,33_stroke_recovery_rehabilitation_therapy,"['stroke', 'recovery', 'rehabilitation', 'therapy', 'motor recovery', 'bilateral', 'upper', 'treatment', 'arm', 'poststroke']",
34,70,34_spinal_spinal cord_cord_hreflex,"['spinal', 'spinal cord', 'cord', 'hreflex', 'cord injury', 'injury', 'sci', 'recovery', 'rats', 'plasticity']",
35,70,35_job_selfefficacy_skill acquisition_ability,"['job', 'selfefficacy', 'skill acquisition', 'ability', 'individual differences', 'personality', 'research', 'motivation', 'cognitive ability', 'acquisition']",
36,69,36_gait_walking_treadmill_paretic,"['gait', 'walking', 'treadmill', 'paretic', 'step length', 'step', 'asymmetry', 'stroke', 'length', 'poststroke']",
37,69,37_medical_skills_education_clinical,"['medical', 'skills', 'education', 'clinical', 'students', 'clinical skills', 'procedural', 'procedural skills', 'simulationbased', 'medical education']",
38,68,38_imagery_motor imagery_mi_mental,"['imagery', 'motor imagery', 'mi', 'mental', 'action', 'imagined', 'mibased', 'aip', 'imagery practice', 'physical practice']",
39,65,39_contextual interference_blocked_contextual_random,"['contextual interference', 'blocked', 'contextual', 'random', 'interference', 'random practice', 'practice', 'schema', 'schema theory', 'blocked practice']",
40,65,40_strategy_automaticity_skill acquisition_information,"['strategy', 'automaticity', 'skill acquisition', 'information', 'memorybased', 'processing', 'rule', 'skill', 'acquisition', 'law']",
41,64,41_matter_white_white matter_gray,"['matter', 'white', 'white matter', 'gray', 'structural', 'gray matter', 'mri', 'gm', 'diffusion', 'brain']",
42,63,42_kr_knowledge results_knowledge_summary,"['kr', 'knowledge results', 'knowledge', 'summary', 'relative frequency', 'nokr', 'frequency', 'results kr', 'retention', 'average']",
43,63,43_coaches_coaching_sport_ecological,"['coaches', 'coaching', 'sport', 'ecological', 'ecological dynamics', 'coach', 'soccer', 'athlete', 'practitioners', 'futsal']",
44,63,44_myoelectric_prosthesis_prosthetic_control,"['myoelectric', 'prosthesis', 'prosthetic', 'control', 'prostheses', 'myoelectric control', 'users', 'limb', 'emg', 'interfaces']",
45,62,45_pd_parkinsons_parkinsons disease_disease,"['pd', 'parkinsons', 'parkinsons disease', 'disease', 'patients', 'pd patients', 'controls', 'disease pd', 'basal', 'basal ganglia']",
46,61,46_guidance_haptic_haptic guidance_ieee,"['guidance', 'haptic', 'haptic guidance', 'ieee', 'force', 'subjects', 'visual', 'assistance', 'error', 'robotic']",
47,58,47_anticipation_players_skilled_sports,"['anticipation', 'players', 'skilled', 'sports', 'sport', 'perceptualcognitive', 'decisionmaking', 'lessskilled', 'ball', 'information']",
48,56,48_stroke_occupational_occupational therapy_rehabilitation,"['stroke', 'occupational', 'occupational therapy', 'rehabilitation', 'patients', 'implicit', 'therapy', 'approach', 'reinvestment', 'treatment']",
49,56,49_feedback_postural_cop_visual feedback,"['feedback', 'postural', 'cop', 'visual feedback', 'balance', 'visual', 'sway', 'bf', 'kr', 'biofeedback']",
50,55,50_microsurgery_microsurgical_anastomosis_assessment,"['microsurgery', 'microsurgical', 'anastomosis', 'assessment', 'plastic', 'plastic surgery', 'anastomoses', 'simulation', 'microvascular', 'surgery']",
51,55,51_forelimb_rats_ischemic_recovery,"['forelimb', 'rats', 'ischemic', 'recovery', 'stroke', 'damage', 'unilateral', 'skilled', 'infarct', 'cortex']",
52,54,52_observational_observational learning_physical practice_modeling,"['observational', 'observational learning', 'physical practice', 'modeling', 'observation', 'model', 'demonstrations', 'pointlight', 'models', 'physical']",
53,54,53_robotic_stroke_upper_robotassisted,"['robotic', 'stroke', 'upper', 'robotassisted', 'therapy', 'upper limb', 'rehabilitation', 'robot', 'devices', 'limb']",
54,54,54_dcd_developmental coordination_children dcd_children,"['dcd', 'developmental coordination', 'children dcd', 'children', 'coordination disorder', 'disorder', 'developmental', 'coordination', 'disorder dcd', 'children developmental']",
55,54,55_coop_children_coordination disorder_developmental coordination,"['coop', 'children', 'coordination disorder', 'developmental coordination', 'dcd', 'disorder', 'children developmental', 'developmental', 'occupational', 'occupational performance']",
56,53,56_vr_virtual_rehabilitation_stroke,"['vr', 'virtual', 'rehabilitation', 'stroke', 'reality', 'vrbased', 'virtual reality', 'therapy', 'conventional', 'upper']",
57,53,57_lurcher_mice_rats_alcohol,"['lurcher', 'mice', 'rats', 'alcohol', 'mutants', 'equilibrium', 'mutant', 'ethanol', 'mutant mice', 'cerebellar']",
58,53,58_recall_interpolated_location_shortterm motor,"['recall', 'interpolated', 'location', 'shortterm motor', 'criterion', 'motor memory', 'shortterm', 'interval', 'kr', 'distance']",
59,52,59_neurons_cortex_motor cortex_layer,"['neurons', 'cortex', 'motor cortex', 'layer', 'activity', 'm1', 'calcium', 'licking', 'calcium imaging', 'mice']",
60,52,60_dystonia_focal_cervical dystonia_abnormal,"['dystonia', 'focal', 'cervical dystonia', 'abnormal', 'cervical', 'musicians', 'dystonic', 'pathophysiology', 'patients', 'abnormalities']",
61,52,61_imagery_mental_physical practice_mi,"['imagery', 'mental', 'physical practice', 'mi', 'motor imagery', 'physical', 'practice', 'imagery training', 'mental practice', 'imagery practice']",
62,51,62_pps_body_space_peripersonal space,"['pps', 'body', 'space', 'peripersonal space', 'peripersonal', 'ownership', 'multisensory', 'bodily', 'tool', 'illusion']",
63,51,63_pet_rcbf_positron_emission,"['pet', 'rcbf', 'positron', 'emission', 'positron emission', 'tomography', 'emission tomography', 'blood flow', 'blood', 'cerebral blood']",
64,51,64_exercise_bout_acute_aerobic,"['exercise', 'bout', 'acute', 'aerobic', 'aerobic exercise', 'acute exercise', 'single bout', 'retention', 'intensity', 'highintensity']",
65,49,65_bci_eeg_mi_erd,"['bci', 'eeg', 'mi', 'erd', 'imagery', 'motor imagery', 'braincomputer', 'mibci', 'classification', 'braincomputer interface']",
66,49,66_autism_asd_autistic_autism spectrum,"['autism', 'asd', 'autistic', 'autism spectrum', 'spectrum', 'spectrum disorder', 'children autism', 'children', 'disorder', 'social']",
67,48,67_examples_instructional_worked_worked examples,"['examples', 'instructional', 'worked', 'worked examples', 'learners', 'problem', 'cognitive load', 'load', 'explanations', 'solving']",
68,47,68_children_tdcs_perinatal stroke_perinatal,"['children', 'tdcs', 'perinatal stroke', 'perinatal', 'cerebral palsy', 'palsy', 'transcranial', 'stimulation', 'cerebral', 'hdtdcs']",
69,47,69_spines_spine_dendritic_synaptic,"['spines', 'spine', 'dendritic', 'synaptic', 'dendritic spines', 'synapses', 'formation', 'neurons', 'pyramidal', 'pyramidal neurons']",
70,45,70_multiple sclerosis_sclerosis_pwms_ms,"['multiple sclerosis', 'sclerosis', 'pwms', 'ms', 'multiple', 'patients', 'patients multiple', 'sclerosis ms', 'controls', 'tremor']",
71,45,71_tongue_jaw_oral_masseter,"['tongue', 'jaw', 'oral', 'masseter', 'corticomotor', 'meps', 'orofacial', 'muscles', 'fdi', 'face']",
72,44,72_schizophrenia_sz_patients_controls,"['schizophrenia', 'sz', 'patients', 'controls', 'bd', 'healthy controls', 'deficits', 'sleep', 'sleepdependent', 'dysfunction']",
73,43,73_focus_children_attentional focus_attentional,"['focus', 'children', 'attentional focus', 'attentional', 'instructions', 'external', 'external focus', 'throwing', 'childrens', 'analogy']",
74,43,74_connectivity_network_functional_functional connectivity,"['connectivity', 'network', 'functional', 'functional connectivity', 'networks', 'fmri', 'rsfc', 'sensorimotor', 'neural', 'brain']",
75,43,75_children_adults_age_years,"['children', 'adults', 'age', 'years', 'tracing', 'development', 'younger children', 'developmental', 'movement', 'older children']",
76,43,76_tdcs_older_anodal_older adults,"['tdcs', 'older', 'anodal', 'older adults', 'atdcs', 'adults', 'stimulation', 'sham', 'direct current', 'current stimulation']",
77,41,77_video_physical education_education_students,"['video', 'physical education', 'education', 'students', 'video feedback', 'feedback', 'pe', 'teaching', 'snatch', 'physical']",
78,38,78_stroke_impairment_impairments_arm,"['stroke', 'impairment', 'impairments', 'arm', 'patients', 'force', 'force control', 'deficits', 'affected', 'visuomotor adaptation']",
79,38,79_cpr_resuscitation_bls_chest,"['cpr', 'resuscitation', 'bls', 'chest', 'compressions', 'compression', 'life support', 'basic life', 'manikin', 'depth']",
80,37,80_speech_speech motor_practice_nonwords,"['speech', 'speech motor', 'practice', 'nonwords', 'nonspeech', 'pitch', 'participants', 'variation', 'production', 'principles']",
81,37,81_autism_mecp2_mice_asd,"['autism', 'mecp2', 'mice', 'asd', 'autism spectrum', 'mutations', 'spectrum', 'mouse', 'behaviors', 'disorder']",
82,36,82_spinal cord_cord_cord injury_spinal,"['spinal cord', 'cord', 'cord injury', 'spinal', 'walking', 'sci', 'injury', 'isci', 'incomplete', 'incomplete spinal']",
83,36,83_srl_sport_players_soccer,"['srl', 'sport', 'players', 'soccer', 'elite', 'athletes', 'youth', 'professional', 'talent', 'participation']",
84,36,84_infants_object_exploration_objects,"['infants', 'object', 'exploration', 'objects', 'actions', 'toddlers', 'action', 'development', 'infant', 'antiphase']",
85,35,85_cerebellar_cells_nuclei_cerebellar nuclei,"['cerebellar', 'cells', 'nuclei', 'cerebellar nuclei', 'golgi', 'climbing', 'olivary', 'purkinje', 'spikes', 'spike']",
86,35,86_activation_fmri_regions_parietal,"['activation', 'fmri', 'regions', 'parietal', 'sequence', 'arbitrary', 'visuomotor', 'premotor', 'activity', 'cortex']",
87,35,87_treatment_speech_cas_childhood apraxia,"['treatment', 'speech', 'cas', 'childhood apraxia', 'ultrasound', 'apraxia speech', 'children', 'apraxia', 'biofeedback', 'untreated']",
88,35,88_retrieval_older_older adults_strategy,"['retrieval', 'older', 'older adults', 'strategy', 'adults', 'shift', 'age differences', 'age', 'younger', 'differences']",
89,35,89_stroke_stroke patients_patients_fmri,"['stroke', 'stroke patients', 'patients', 'fmri', 'recovery', 'ipsilesional', 'functional', 'chronic', 'contralesional', 'brain']",
90,35,90_dyslexia_reading_dyslexic_readers,"['dyslexia', 'reading', 'dyslexic', 'readers', 'developmental dyslexia', 'dd', 'developmental', 'chinese', 'deficit', 'phonological']",
91,35,91_pd_hd_disease_patients,"['pd', 'hd', 'disease', 'patients', 'parkinsons', 'parkinsons disease', 'pd patients', 'huntingtons', 'huntingtons disease', 'impaired']",
92,34,92_fnirs_spectroscopy_hemodynamic_nearinfrared,"['fnirs', 'spectroscopy', 'hemodynamic', 'nearinfrared', 'nearinfrared spectroscopy', 'oxyhb', 'spectroscopy fnirs', 'functional nearinfrared', 'prefrontal', 'pfc']",
93,33,93_pedagogy_physical education_education_cla,"['pedagogy', 'physical education', 'education', 'cla', 'teaching', 'nonlinear', 'games', 'nonlinear pedagogy', 'pedagogical', 'tgfu']",
94,33,94_polymorphism_bdnf_val66met_genotype,"['polymorphism', 'bdnf', 'val66met', 'genotype', 'val66met polymorphism', 'comt', 'bdnf val66met', 'genetic', 'gene', 'polymorphisms']",
95,32,95_older_adults_young_older adults,"['older', 'adults', 'young', 'older adults', 'ballistic', 'old', 'old adults', 'ballistic motor', 'age', 'plasticity']",
96,32,96_nursing_psychomotor_psychomotor skills_students,"['nursing', 'psychomotor', 'psychomotor skills', 'students', 'education', 'skills', 'psychomotor skill', 'skill', 'skill acquisition', 'simulation']",
97,32,97_hippocampal_hippocampus_consolidation_memory,"['hippocampal', 'hippocampus', 'consolidation', 'memory', 'motor sequence', 'sequence', 'rest', 'sequence learning', 'declarative', 'offline']",
98,32,98_trunk_lbp_low pain_pain,"['trunk', 'lbp', 'low pain', 'pain', 'muscles', 'low', 'lumbar', 'flexion', 'muscle', 'ultrasound']",
99,31,99_hmdvr_virtual_vr_virtual reality,"['hmdvr', 'virtual', 'vr', 'virtual reality', 'reality', 'agency', 'immersive', 'headmounted', 'immersive virtual', 'ownership']",
100,31,100_handwriting_writing_letter_characters,"['handwriting', 'writing', 'letter', 'characters', 'reading', 'letters', 'typing', 'children', 'literacy', 'childrens']",
101,31,101_striatum_cocaine_mice_striatal,"['striatum', 'cocaine', 'mice', 'striatal', 'dorsal striatum', 'rotarod', 'hd', 'dorsal', 'responding', 'd1']",
102,30,102_robotic_surgery_surgical_robotic surgery,"['robotic', 'surgery', 'surgical', 'robotic surgery', 'vinci', 'da vinci', 'laparoscopic', 'simulation', 'residents', 'da']",
103,30,103_deliberate practice_deliberate_expertise_expert,"['deliberate practice', 'deliberate', 'expertise', 'expert', 'music', 'expert performance', 'practice', 'experts', 'performance', 'musical']",
104,30,104_dental_dentistry_students_dental education,"['dental', 'dentistry', 'students', 'dental education', 'operative', 'vr', 'preclinical', 'haptic', 'education', 'simulation']",
105,29,105_sec_rest_apa rights_2006 apa,"['sec', 'rest', 'apa rights', '2006 apa', 'psycinfinityo database', 'database record', 'record 2006', 'apa', 'psycinfinityo', 'record']",
106,29,106_practice_partners_partner_schedule,"['practice', 'partners', 'partner', 'schedule', 'constant practice', 'practice schedule', 'constant', 'random', 'timing', 'practiced']",
107,29,107_glur2_glutamate_glutamate receptor_receptor,"['glur2', 'glutamate', 'glutamate receptor', 'receptor', 'synapse', 'synapse formation', 'cf', 'cells', 'expressed', 'synapses']",
108,29,108_surgical_tdcs_laparoscopic_surgical skill,"['surgical', 'tdcs', 'laparoscopic', 'surgical skill', 'prefrontal', 'fls', 'fnirs', 'sham', 'pfc', 'laparoscopic surgical']",
109,29,109_musical_music_musicians_piano,"['musical', 'music', 'musicians', 'piano', 'musical training', 'melodies', 'multisensory', 'auditory', 'listening', 'playing']",
110,29,110_dl_differential learning_contextual interference_differential,"['dl', 'differential learning', 'contextual interference', 'differential', 'ci', 'interference', 'contextual', 'es', 'golf', 'effect']",
111,29,111_executive_children_physical_executive functions,"['executive', 'children', 'physical', 'executive functions', 'executive function', 'physical activity', 'development', 'preschool', 'children adolescents', 'cognitive']",
112,28,112_myelin_myelination_oligodendrocytes_oligodendrocyte,"['myelin', 'myelination', 'oligodendrocytes', 'oligodendrocyte', 'neuronal', 'neuronal activity', 'axons', 'cns', 'adult', 'ol']",
113,28,113_older_interleaved_adults_connectivity,"['older', 'interleaved', 'adults', 'connectivity', 'older adults', 'bold', 'functional', 'younger', 'ya', 'resting']",
114,28,114_autism_autism spectrum_asd_spectrum,"['autism', 'autism spectrum', 'asd', 'spectrum', 'children autism', 'spectrum disorder', 'video', 'children asd', 'children', 'disorder']",
115,27,115_multisensory_auditory_auditory cortex_crossmodal,"['multisensory', 'auditory', 'auditory cortex', 'crossmodal', 'multisensory integration', 'neurons', 'sc', 'integration', 'responses', 'stimuli']",
116,27,116_spike_simple spike_discharge_cells,"['spike', 'simple spike', 'discharge', 'cells', 'purkinje', 'purkinje cells', 'complex spike', 'simple', 'firing', 'cerebellar']",
117,27,117_spines_rats_purkinje_synapses,"['spines', 'rats', 'purkinje', 'synapses', 'ac', 'animals', 'purkinje cell', 'synapse', 'cell', 'acrobatic']",
118,27,118_sonification_movement sonification_auditory_sound,"['sonification', 'movement sonification', 'auditory', 'sound', 'information', 'movement', 'auditory feedback', 'feedback', 'sounds', 'perception']",
119,27,119_robotic_robotassisted_assistance_rehabilitation,"['robotic', 'robotassisted', 'assistance', 'rehabilitation', 'robot', 'stroke', 'therapy', 'robotics', 'patient', 'patients']",
120,26,120_aos_speech_treatment_apraxia,"['aos', 'speech', 'treatment', 'apraxia', 'apraxia speech', 'syllables', 'articulation', 'apraxic', 'speech motor', 'words']",
121,26,121_spiking_cerebellar_model_cerebellum,"['spiking', 'cerebellar', 'model', 'cerebellum', 'neural', 'network', 'neural network', 'artificial', 'controller', 'realtime']",
122,25,122_purkinje_cells_cerebellar_purkinje cells,"['purkinje', 'cells', 'cerebellar', 'purkinje cells', 'cell', 'neurons', 'mouse', 'purkinje cell', 'expression', 'pc']",
123,25,123_exercise_aerobic_aerobic exercise_stroke,"['exercise', 'aerobic', 'aerobic exercise', 'stroke', 'aex', 'neuroplasticity', 'highintensity', 'poststroke', 'chronic stroke', 'chronic']",
124,25,124_cerebellum_cerebellar_role cerebellum_linkage,"['cerebellum', 'cerebellar', 'role cerebellum', 'linkage', 'cerebellar function', 'role', 'cerebellum motor', 'reflexes', 'cognition', 'stiffness']",
125,25,125_tennis_players_ball_net,"['tennis', 'players', 'ball', 'net', 'junior', 'court', 'scaling', 'height', 'tennis players', 'equipment']",
126,25,126_forelimb_map_representations_motor cortex,"['forelimb', 'map', 'representations', 'motor cortex', 'cortical', 'skilled', 'cortex', 'motor map', 's1', 'reorganization']",
127,24,127_children_cp_cerebral palsy_palsy,"['children', 'cp', 'cerebral palsy', 'palsy', 'game', 'cerebral', 'children cp', 'upper', 'vr', 'virtual']",
128,24,128_dopamine_sequence learning_striatal_striatal dopamine,"['dopamine', 'sequence learning', 'striatal', 'striatal dopamine', 'release', 'pd', 'motor sequence', 'dopamine release', 'sequence', 'putamen']",
129,24,129_neglect_prism_prism adaptation_prisms,"['neglect', 'prism', 'prism adaptation', 'prisms', 'pa', 'adaptation', 'rightward', 'leftward', 'spatial', 'bias']",
130,24,130_purkinje_ca2_cells_climbing,"['purkinje', 'ca2', 'cells', 'climbing', 'fiber', 'cell', 'purkinje cell', 'purkinje cells', 'fibers', 'climbing fibers']",
131,24,131_toolmaking_stone_play_social,"['toolmaking', 'stone', 'play', 'social', 'evolution', 'evolutionary', 'wild', 'food', 'hypotheses', 'immature']",
132,23,132_music_focus_teachers_musical,"['music', 'focus', 'teachers', 'musical', 'foa', 'practice', 'melody', 'focus attention', 'external', 'slow']",
133,23,133_orthopaedic_ivr_surgical_simulators,"['orthopaedic', 'ivr', 'surgical', 'simulators', 'reality', 'virtual', 'immersive', 'simulation', 'virtual reality', 'surgery']",
134,22,134_ad_ad patients_alzheimers_alzheimers disease,"['ad', 'ad patients', 'alzheimers', 'alzheimers disease', 'patients', 'procedural', 'cognitive procedural', 'disease ad', 'dementia', 'disease']",
135,22,135_gaba_gaba levels_glx_levels,"['gaba', 'gaba levels', 'glx', 'levels', 'resonance spectroscopy', 'neurochemical', 'concentration', 'spectroscopy', 'magnetic resonance', 'resonance']",
136,22,136_therapists_ml_physical therapists_survey,"['therapists', 'ml', 'physical therapists', 'survey', 'implementation', 'physical', 'focus', 'selfefficacy', 'options', 'instructions feedback']",
137,22,137_musical_melodies_pianists_music,"['musical', 'melodies', 'pianists', 'music', 'pitch', 'auditory', 'musicians', 'sound', 'piece', 'listening']",
138,22,138_sleep_children_nap_consolidation,"['sleep', 'children', 'nap', 'consolidation', 'procedural', 'daytime', 'sleepdependent', 'memory', 'memory consolidation', 'offline']",
139,21,139_observation_actionobservation_observational_observers,"['observation', 'actionobservation', 'observational', 'observers', 'observational practice', 'biological', 'physical practice', 'motion', 'models', 'observational learning']",
140,21,140_athletes_sports_sport_exp,"['athletes', 'sports', 'sport', 'exp', 'cognitive', 'cognitivemotor', 'players', 'sports practice', 'nonathletes', 'basketball players']",
141,21,141_foxp2_language_speech_gene,"['foxp2', 'language', 'speech', 'gene', 'transcription', 'expression', 'speech language', 'vocal', 'species', 'human speech']",
142,21,142_athletes_brain_gyrus_restingstate,"['athletes', 'brain', 'gyrus', 'restingstate', 'functional', 'gymnasts', 'network', 'functional connectivity', 'fc', 'brain functional']",
143,21,143_ataxia_degenerative_cerebellar_cerebellar ataxia,"['ataxia', 'degenerative', 'cerebellar', 'cerebellar ataxia', 'spinocerebellar', 'cerebellar disease', 'patients', 'symptoms', 'spinocerebellar ataxia', 'diseases']",
144,21,144_saccade_eye_saccades_vermis,"['saccade', 'eye', 'saccades', 'vermis', 'eye movements', 'oculomotor', 'cs', 'saccadic', 'cerebellum', 'error']",
145,20,145_philosophy_embodied_sport_knowing,"['philosophy', 'embodied', 'sport', 'knowing', 'choking', 'paper', 'bodily', 'cognition', 'performers', 'mathematics']",
146,20,146_afferent information_vision_afferent_specificity,"['afferent information', 'vision', 'afferent', 'specificity', 'information', 'aiming', 'condition', 'visual', 'sources', 'conditions']",
147,20,147_cbi_cerebellum_cerebellar_fatigue,"['cbi', 'cerebellum', 'cerebellar', 'fatigue', 'm1', 'tms', 'adaptive learning', 'stimulation', 'meg', 'cortex']",
148,20,148_cognitive restructuring_restructuring_cbt_dp,"['cognitive restructuring', 'restructuring', 'cbt', 'dp', 'cognitive', 'cognitive flexibility', 'flexibility', 'depression', 'therapy', 'deliberate practice']",
149,20,149_quiet eye_quiet_qe_eye,"['quiet eye', 'quiet', 'qe', 'eye', 'durations', 'duration', 'dart', 'gaze', 'putting', 'catch']",
150,20,150_pursuit_eye_eye movements_direction,"['pursuit', 'eye', 'eye movements', 'direction', 'saccade', 'smooth', 'pursuit eye', 'smooth pursuit', 'saccades', 'target']",
151,20,151_children_sequence_procedural learning_dcd,"['children', 'sequence', 'procedural learning', 'dcd', 'procedural', 'explicit', 'sequence learning', 'srt', 'implicit', 'developmental']",
152,19,152_automated_forelimb_rats_mice,"['automated', 'forelimb', 'rats', 'mice', 'pellet', 'reaching', 'rodents', 'skilled', 'mouse', 'tasks']",
153,19,153_fidelity_skill decay_automation_decay,"['fidelity', 'skill decay', 'automation', 'decay', 'expertise development', 'utilization', 'individual', 'expertise', 'cue', 'artificial intelligence']",
154,19,154_musicians_musical_nonmusicians_af,"['musicians', 'musical', 'nonmusicians', 'af', 'fa', 'volume', 'matter', 'white matter', 'white', 'structural']",
155,19,155_manipulation_force_students_spinal,"['manipulation', 'force', 'students', 'spinal', 'feedback', 'physical therapy', 'teaching', 'augmented feedback', 'augmented', 'therapy']",
156,19,156_voice_voice therapy_therapy_vocal,"['voice', 'voice therapy', 'therapy', 'vocal', 'behaviors', 'respiratory', 'biofeedback', 'ambulatory', 'treatment', 'clinicians']",
157,19,157_haptic_haptic feedback_surgical_surgery,"['haptic', 'haptic feedback', 'surgical', 'surgery', 'invasive surgery', 'surgeons', 'invasive', 'robotic', 'da vinci', 'vinci']",
